Hour,CPEpor_F,CPEpor_n,Rpor,CPEb_F,CPEb_n,Rb
156,0.00011146466071428571,0.8246428571428571,238.94642857142856,1.584821428571429e-05,0.8355357142857144,209108.92857142858
157,0.00011217887648809523,0.824672619047619,238.55505952380952,1.5933779761904763e-05,0.8356994047619049,208718.60119047618
158,0.00011289309226190476,0.8247023809523809,238.16369047619048,1.6019345238095243e-05,0.8358630952380953,208328.27380952382
159,0.00011360730803571428,0.8247321428571428,237.77232142857144,1.6104910714285716e-05,0.8360267857142858,207937.94642857142
160,0.00011432152380952381,0.8247619047619047,237.38095238095238,1.6190476190476193e-05,0.8361904761904763,207547.61904761905
161,0.00011503573958333332,0.8247916666666666,236.98958333333334,1.627604166666667e-05,0.8363541666666667,207157.29166666666
162,0.00011574995535714285,0.8248214285714285,236.59821428571428,1.6361607142857143e-05,0.8365178571428572,206766.9642857143
163,0.00011646417113095237,0.8248511904761904,236.20684523809524,1.6447172619047623e-05,0.8366815476190477,206376.6369047619
164,0.0001171783869047619,0.8248809523809524,235.8154761904762,1.6532738095238097e-05,0.8368452380952381,205986.30952380953
165,0.00011789260267857143,0.8249107142857143,235.42410714285714,1.6618303571428573e-05,0.8370089285714286,205595.98214285713
166,0.00011860681845238095,0.8249404761904762,235.0327380952381,1.670386904761905e-05,0.8371726190476191,205205.65476190476
167,0.00011932103422619048,0.8249702380952381,234.64136904761904,1.6789434523809527e-05,0.8373363095238096,204815.32738095237
168,0.00012003524999999999,0.825,234.25,1.6875000000000004e-05,0.8375,204425.0
169,0.00012074946577380951,0.8250297619047618,233.85863095238096,1.6960565476190477e-05,0.8376636904761905,204034.67261904763
170,0.00012146368154761904,0.8250595238095237,233.46726190476193,1.7046130952380957e-05,0.837827380952381,203644.34523809524
171,0.00012217789732142857,0.8250892857142856,233.07589285714286,1.713169642857143e-05,0.8379910714285714,203254.01785714284
172,0.0001228921130952381,0.8251190476190475,232.6845238095238,1.7217261904761907e-05,0.838154761904762,202863.69047619047
173,0.00012360632886904762,0.8251488095238095,232.29315476190476,1.7302827380952384e-05,0.8383184523809525,202473.3630952381
